"code_domaine_competence","domaine_competence","code_enjeu","enjeu","code_objectif","objectif","code_macro_competence","code_ogr_macro_competence","libelle_macro_competence","code_ogr_competence","libelle_competence"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A103","300032","Concevoir et animer des activités sportives","490560","Effectuer des exercices de voltige équestre"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A103","300032","Concevoir et animer des activités sportives","500286","Organiser des séances d'entraînement pour chevaux"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A103","300032","Concevoir et animer des activités sportives","500473","Stimuler les capacités cognitives et motrices"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A103","300032","Concevoir et animer des activités sportives","503037","Eduquer les sportifs sur la nutrition et l'hygiène de vie adaptées"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A103","300032","Concevoir et animer des activités sportives","513495","Participer aux séances d'entraînement pour chevaux"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A103","300032","Concevoir et animer des activités sportives","513521","Concevoir et animer des activités équestres"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A103","300032","Concevoir et animer des activités sportives","516665","Organiser des événements et des activités nautiques"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A103","300032","Concevoir et animer des activités sportives","518648","Accompagner les randonnées et enseigner la pratique d'activités sportives de montagne (raquettes, marche nordique, trekking, trail)"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A104","300033","Mettre en oeuvre et animer des actions socioculturelles","108408","Animer en bibliothèque"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A104","300033","Mettre en oeuvre et animer des actions socioculturelles","115181","Animer des activités culturelles et artistiques"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A104","300033","Mettre en oeuvre et animer des actions socioculturelles","120217","Promouvoir les activités culturelles auprès du public"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A104","300033","Mettre en oeuvre et animer des actions socioculturelles","123990","Déterminer une stratégie d'action socioculturelle"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A104","300033","Mettre en oeuvre et animer des actions socioculturelles","483391","Favoriser le développement personnel à travers des activités structurées"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A104","300033","Mettre en oeuvre et animer des actions socioculturelles","484714","Expliquer des faits historiques pertinents"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A104","300033","Mettre en oeuvre et animer des actions socioculturelles","484725","Favoriser l'intégration sociale des jeunes"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A104","300033","Mettre en oeuvre et animer des actions socioculturelles","485988","Encourager la créativité et l'expression artistique"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A104","300033","Mettre en oeuvre et animer des actions socioculturelles","500040","Proposer des activités communautaires pour renforcer la cohésion"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A104","300033","Mettre en oeuvre et animer des actions socioculturelles","501943","Promouvoir l'engagement civique des élèves"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A104","300033","Mettre en oeuvre et animer des actions socioculturelles","502179","Organiser des activités communautaires pour faciliter l'intégration et la cohésion sociale"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A104","300033","Mettre en oeuvre et animer des actions socioculturelles","502529","Innover dans les propositions d'activités socioculturelles"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A104","300033","Mettre en oeuvre et animer des actions socioculturelles","503709","Animer des ateliers de découverte musicale pour différents publics"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A104","300033","Mettre en oeuvre et animer des actions socioculturelles","503836","Organiser des ateliers culturels"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A104","300033","Mettre en oeuvre et animer des actions socioculturelles","504178","Promouvoir la diversité culturelle dans les programmes"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A104","300033","Mettre en oeuvre et animer des actions socioculturelles","505238","Organiser des campagnes de sensibilisation sociale"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A104","300033","Mettre en oeuvre et animer des actions socioculturelles","505430","Participer à la mise en place de projets éducatifs"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A104","300033","Mettre en oeuvre et animer des actions socioculturelles","508092","Organiser des ateliers créatifs pour divers groupes d'âge"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A104","300033","Mettre en oeuvre et animer des actions socioculturelles","508280","Animer des ateliers de pratique artistique"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A104","300033","Mettre en oeuvre et animer des actions socioculturelles","511351","Appliquer les techniques d'animation collective et de gestion de groupe en prenant en compte les pathologies ou problématiques des participants et les contraintes du lieu d'intervention"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A104","300033","Mettre en oeuvre et animer des actions socioculturelles","511817","Participer aux projets et aux sorties éducatives, culturelles et sportives organisées par l'établissement scolaire"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A104","300033","Mettre en oeuvre et animer des actions socioculturelles","520940","Mobiliser les démarches d'éducation populaire pour animer des activités favorisant l'expression, la participation active et la créativité des publics"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A105","300120","Animer une cérémonie, un spectacle","108867","Procéder au cérémonial funéraire de préparation de la mise en terre ou en sépulture"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A105","300120","Animer une cérémonie, un spectacle","125674","Présenter des informations au micro, devant une caméra"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A105","300120","Animer une cérémonie, un spectacle","125933","Ordonnancer des obsèques"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A105","300120","Animer une cérémonie, un spectacle","405254","Célèbrer les offices et les cérémonies religieuses"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A105","300120","Animer une cérémonie, un spectacle","484525","Respecter les horaires de représentation"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A105","300120","Animer une cérémonie, un spectacle","501811","Animer une séance de spectacle vivant"
