"code_ogr","libelle","code_rubrique"
"102980","Préparer les documents à reproduire, sélectionner les machines d'impression et les paramétrer","1"
"102981","Surveiller le fonctionnement de la machine d'impression (arrivée papier, bourrage, impression, ...)","1"
"102983","Façonner les documents dupliqués manuellement ou à l'aide d'une machine","1"
"102996","Présenter au client les améliorations envisageables (grammage papier, mise en page, etc.) après avoir vérifié la faisabilité de la commande","1"
"103011","Suivre et analyser les résultats d'une campagne de communication","1"
"103023","Réaliser le bilan des actions de communication","1"
"103084","Aménager un espace de spectacle (plateau cinéma, scène de théâtre, etc.)","1"
"103085","Concevoir l'aménagement d'espaces","1"
"103086","Concevoir l'aménagement d'espaces de cuisines et de salles de bains","1"
"103087","Concevoir l'aménagement de scènes de spectacles (théâtre, plateaux télévision, cinéma)","1"
"103097","Réaliser les prélèvements d'échantillons, les mesures d'eau, d'air, de poussières et analyser les résultats","1"
"103098","Repérer et identifier des risques sanitaires et environnementaux","1"
"103107","Procéder à un diagnostic amiante","1"
"103109","Procéder à un diagnostic gaz","1"
"103111","Procéder à un diagnostic plomb","1"
"103122","Réaliser ou modifier les schémas, les épures, les plans des ouvrages, des installations, des aménagements selon les normes et les évolutions de contraintes","1"
"103150","Participer à l'élaboration de dossiers administratifs (permis de construire par exemple)","1"
"103153","Définir et coordonner la mise en oeuvre de méthodes et procédés de recherche, prospections, études de sols, sous-sols","1"
"103154","Déterminer et faire évoluer les moyens techniques et les outils d'exploration des sols et sous-sols","1"
"103157","Interpréter les relevés géologiques de sols, sous-sols, roches et étudier les caractéristiques (étendues, compositions, géométrie, etc.)","1"
"103196","Sélectionner les moyens et les méthodes à mettre en oeuvre et planifier les opérations de chantier","1"
"103199","Superviser et contrôler l'exécution d'études, de documents et de plans de détails confiés aux bureaux d'études","1"
"103219","Réaliser un relevé d'intérieur et de façade d'un ouvrage existant et déterminer le périmètre et la surface","1"
"103222","Réaliser des études ou documents fonciers et établir des plans d'architecture (morcellement parcellaire, aménagement foncier, etc.)","1"
"103308","Surveiller et contrôler les charges manutentionnées en fonction des spécificités de son engin (répartition, poids, etc.)","1"
"103309","Manœuvrer l'engin en fonction du terrain (nature du sol, dénivelé, risques, ...)","1"
"103310","Taluter les sols ou décaper les talus et les accotements (végétation, ...) sur le lieu d'une tranchée prévue","1"
"103314","Redonner un aspect naturel au chantier terminé (remblais, surface, ...)","1"
"103346","Surveiller les paramètres de forage et de pompage et détecter les anomalies et dysfonctionnements (pression, vitesse, débit, etc.)","1"
"103369","Abattre le front de taille par explosion ou par opérations mécaniques","1"
"103408","Réaliser l'isolation et l'étanchéité de la toiture ou de la terrasse","1"
"103418","Réaliser un essai d'assemblage en atelier et ajuster (dimensions, ponçage ...) chaque pièce","1"
"103428","Réaliser des opérations de vernissage","1"
"103449","Réaliser des opérations d'étanchéité (calfatage, lattes de bois, application, masticage, ...) sur les bateaux","1"
"103450","Réaliser des opérations de mise en place et réglages d'équipements techniques de pont, de manoeuvre, de sécurité (mâts, gréement, appareil à gouverner, ...) sur les bateaux","1"
"103452","Réaliser des opérations de pose d'équipements techniques de réseaux sur les bateaux","1"
"103453","Réaliser des opérations de stratification de renforts et pose d'isolants sur les bateaux","1"
"103481","Réaliser des plafonds","1"
"103483","Réaliser des éléments courbes, cintrés","1"
"103495","Réaliser et poser des chemins de câbles et des conduits électriques en apparent ou en encastré","1"
"103514","Vérifier les pressions et températures, les échanges de chaleur, ... et ajuster les réglages","1"
"103515","Réaliser les saignées et les creusements divers","1"
"103531","Réaliser et fixer des huisseries, encadrements et montants","1"
"103547","Hisser, fixer et régler un câble et ses accessoires","1"
"103552","Rechercher l'origine des pannes et identifier les solutions de réparation","1"
"103564","Identifier la nature du support à enduire, à recouvrir et vérifier son état","1"
"103566","Préparer la peinture","1"
"103592","Réaliser l'étanchéité de l'ensemble support et châssis et poser les mousses de polyuréthane, joints, bandes adhésives, cornières, etc","1"
"103628","Identifier la nature des produits et enduits et en déterminer la quantité","1"
"103644","Repérer les particularités du montage de la toiture d'origine","1"
"103655","Poser des ardoises","1"
"103659","Poser des panneaux solaires","1"
"103668","Réparer ou modifier des éléments maçonnés","1"
"103711","Réaliser des opérations de montage à joints secs","1"
"103712","Réaliser des opérations de montage au mortier","1"
"103713","Réaliser des opérations de montage au sol, aux murs en intérieur","1"
"103715","Réaliser des opérations de montage en façade","1"
"103722","Concevoir des cheminées","1"
"103728","Concevoir des cadrans solaires","1"
"103731","Sécher les surfaces","1"
"103732","Réserver des ouvertures et éléments d'ouvrage prévus (exutoire de désenfumage, aération, ...)","1"
"103742","Réaliser la pose de réseaux de canalisations, fourreaux d'évacuation, branchements","1"
"103758","Remblayer l'excavation et compacter les tranchées","1"
"103760","Répandre les granulats, les gravillons ou les déblayer","1"
"103767","Terrasser et niveler la fondation","1"
"103771","Coffrer des ouvrages en béton","1"
"103775","Réaliser et lisser les joints","1"
"103780","Poser des tôles","1"
"103781","Poser des éléments de bardeau bitumé","1"
"103796","Réaliser la pose de bardeaux","1"
"103797","Réaliser la pose d'éléments de couverture","1"
