parent_entity_id,child_entity_id,entity_kind,relation_type,source
SKL_95cef25b821f,SKL_4b1e0bbd899c,skill,broader_than,ESCO_SKILLS
SKL_7cb0b95d8ecb,SKL_c2ce930d35e3,skill,broader_than,ESCO_SKILLS
SKL_0c69b2e7a542,SKL_3d33fd9357b8,skill,broader_than,ESCO_SKILLS
SKL_f37682de4b11,SKL_8751a0dc5b3e,skill,broader_than,ESCO_SKILLS
SKL_7cb0b95d8ecb,SKL_1e60c0a605d3,skill,broader_than,ESCO_SKILLS
SKL_9a32440af0e8,SKL_139c1ba8356c,skill,broader_than,ESCO_SKILLS
SKL_c2370a8d0ae1,SKL_18b153db615d,skill,broader_than,ESCO_SKILLS
SKL_bd6a2a4505fb,SKL_c6689c05585a,skill,broader_than,ESCO_SKILLS
SKL_9864692bd66a,SKL_ef6255a7308a,skill,broader_than,ESCO_SKILLS
SKL_76c0a07170d5,SKL_9a3f73fe0e5c,skill,broader_than,ESCO_SKILLS
SKL_bd6a2a4505fb,SKL_a2b051fbd22d,skill,broader_than,ESCO_SKILLS
SKL_e3fbc0d4c1db,SKL_a62c8a265ae4,skill,broader_than,ESCO_SKILLS
SKL_0571f21b7421,SKL_7d2e0b1b6b4d,skill,broader_than,ESCO_SKILLS
SKL_c2370a8d0ae1,SKL_db90b8d9d02a,skill,broader_than,ESCO_SKILLS
