entity_id,source,source_id,isco_code,pref_label_fr,pref_label_en,alt_labels_fr,alt_labels_en,description_fr,description_en,occupation_type,label_language_status
OCC_697bbd77a746,ESCO,4b3201cb-ffc5-4f61-9fc3-5c0f0038fa5f,2511,responsable de l’analyse commerciale des technologies de l’information et de la communication,,responsable de l'analyse commerciale des TIC | responsable de l'analyse commerciale de la technologie de l'information et de la communication | responsable de l'analyse commerciale TIC | responsable de l'analyse métier technologies de l'information et de la communication,,Les gestionnaires de l’analyse d’entreprise du secteur des TIC recensent les domaines dans lesquels des modifications du système d’information sont nécessaires pour soutenir les plans d’entreprise et surveiller l’impact en termes de gestion du changement. Ils contribuent aux exigences fonctionnelles générales des entreprises dans le domaine des TIC. Les gestionnaires de l’analyse des entreprises du secteur des TIC analysent les besoins des entreprises et les traduisent en solutions TIC.,,Occupation,fr_native
OCC_3e265a77afe1,ESCO,50af07f0-7a75-424e-a66d-5a9deea10f4c,2519,testeur d’accessibilité/testeuse d’accessibilité,,évaluateur d'accessibilité | testeur accessibilité | évaluatrice d'accessibilité | testeuse d'accessibilité | testeur de la facilité d'accès | testeuse en accessibilité | testeuse de la facilité d'accès | testeuse accessibilité | testeur en accessibilité | testeur d'accessibilité,,"Les testeurs d’accessibilité des TIC évaluent les sites web, les applications logicielles, les systèmes ou les composants de l’interface utilisateur en ce qui concerne la convivialité, le fonctionnement de la navigation et la visibilité à tous les types d’utilisateurs, en particulier ceux qui ont des besoins particuliers ou des handicaps.",,Occupation,fr_native
OCC_b46ed0bc22d0,ESCO,52d5edc9-7902-4cd3-8b06-6bd77c98d440,2519,testeur de systèmes informatiques/testeuse de systèmes informatiques,,testeuse TIC | testeur de systèmes de technologies de l'information et de la communication | testeuse en TIC | testeuse de systèmes informatiques | testeur de systèmes TIC | testeuse de systèmes de technologies de l'information et de la communication | testeuse de systèmes TIC | testeur en TIC | testeur TIC | testeur de systèmes informatiques,,"Les testeurs de systèmes TIC effectuent des essais et certaines activités de planification des essais. Ils peuvent également déboiser et réparer les systèmes et composants des technologies de l’information et de la communication (TIC), bien que cela soit principalement le cas pour les concepteurs et les développeurs. Ils veillent à ce que tous les systèmes et composants fonctionnent correctement avant de les livrer aux clients internes et externes.",,Occupation,fr_native
OCC_47055aec8572,ESCO,57af9090-55b4-4911-b2d0-86db01c00b02,2514,développeur de logiciels pour systèmes informatiques intégrés/développeuse de logiciels pour systèmes informatiques intégrés,,conceptrice de logiciels pour systèmes incorporé | développeuse de logiciels pour systèmes informatiques intégrés | concepteur de logiciels systèmes emboîtés | concepteur de logiciels pour systèmes informatiques intégrés à l'équipement | conceptrice de logiciels pour systèmes informatiques intégrés à l'équipement | développeur de logiciels pour systèmes informatiques intégrés | conceptrice de logiciels pour systèmes imbriqués | concepteur de logiciels pour systèmes incorporés | conceptrice de logiciels systèmes emboîtés | concepteur de logiciels pour systèmes imbriqués,,"Logiciel de conception de logiciels de systèmes embarqués, mise en œuvre, document et maintenance de logiciels à mettre en œuvre sur un système intégré.",,Occupation,fr_native
OCC_8d3f855bfe60,ESCO,591c5063-69ce-4551-ba60-e2304111130f,3513,responsable communications de données aéronautiques,,,,"Les responsables communications de données aéronautiques assurent la planification, la mise en œuvre et la maintenance des réseaux de transmission de données. Ils/Elles gèrent les systèmes de traitement des données reliant les agences utilisatrices aux ordinateurs centraux.",,Occupation,fr_native
OCC_59802a0ba34e,ESCO,5f50290d-f520-4a69-85c7-1390d2a4a8b6,2519,testeur d’utilisabilité/testeuse d’utilisabilité,,testeur utilisabilité | testeur en utilisabilité | testeuse de la facilité d'utilisation | évaluateur d'utilisabilité | testeuse d'utilisabilité | testeur d'utilisabilité | testeuse utilisabilité | évaluatrice d'utilisabilité | testeur de la facilité d'utilisation | testeuse en utilisabilité,,"Les testeurs sur la facilité d’utilisation des TIC garantissent le respect des exigences et s’efforcent de parvenir à une utilisation optimale dans les phases du cycle de l’ingénierie logicielle (analyse, conception, mise en œuvre et déploiement). Ils travaillent également en étroite collaboration avec les utilisateurs (analystes) pour rechercher et documenter les profils d’utilisateurs, analyser les tâches, les flux de travail et les scénarios d’utilisation.",,Occupation,fr_native
OCC_f609b6bc11bf,ESCO,64c7d461-152c-477f-a8e2-c2c537e9d617,3513,technicien de réseau informatique/technicienne de réseau informatique,,technicien réseau | technicienne des réseaux | technicienne en réseautique | technicienne de réseau | technicienne réseau | technicien en réseautique | technicien des réseaux | technicienne du réseau | technicien de réseau | technicien du réseau,,"Les techniciens/techniciennes de réseau informatique installent, gèrent et entretiennent des réseaux, des équipements de communication de données et des dispositifs installés en réseau, tels que des imprimantes et des réseaux de stockage. Ils/Elles analysent et résolvent les problèmes de réseau signalés par les utilisateurs.",,Occupation,fr_native
OCC_af0b4023ea6c,ESCO,6ce5f7e3-a534-4aa2-ab23-255408ddb53a,2512,développeur IoT/développeuse IoT,,développeur IoT | développeuse IoT | développeur de logiciels iot,,"Les développeurs IoT/développeuses IoT analysent et recueillent des données permettant d’interpréter des tendances et de prédire un résultat. Ils/Elles utilisent l’intelligence artificielle pour organiser les tâches et la prise de décision autonome, en faisant appel à des algorithmes d’apprentissage automatique dans le but de créer des objets plus intelligents grâce à des capteurs de données. Les développeurs IoT/développeuses IoT élaborent des logiciels permettant de connecter des objets à des systèmes et à des objets, ou de programmer ces objets afin de les faire fonctionner de manière autonome.",,Occupation,fr_native
OCC_9f67438781d4,ESCO,6e5ceba0-df96-465f-adb4-2e06ae715d43,2514,programmeur en informatique industrielle/programmeuse en informatique industrielle,,programmeuse en informatique industrielle | programmeur en informatique industrielle,,"Les programmateurs de commande d’outils numériques et de contrôle des procédés mettent au point des programmes informatiques destinés à contrôler les machines automatiques et les équipements utilisés dans les procédés de fabrication. Ils analysent les documents de conception générale et les ordres de travail, procèdent à des simulations informatiques et à des essais.",,Occupation,fr_native
OCC_106b6f022c02,ESCO,6e92d4b5-3167-4166-802f-da7753951a31,2511,consultant en recherche informatique/consultante en recherche informatique,,consultante en recherche dans la TIC | consultante en recherche dans la technologie de l'information et de la communication | consultant en recherche dans la TIC | conseillère en recherche dans les TIC | consultante en recherche informatique | consultant en recherche dans les TIC | consultant en recherche dans la technologie de l'information et de la communication | consultant recherche informatique | conseiller en recherche dans les TIC | consultante en recherche dans les TIC | consultant en recherche informatique | consultante recherche informatique,,"Les consultants spécialisés dans la recherche dans le domaine des TIC réalisent des recherches ciblées dans le domaine des TIC et fournissent un rapport final au client. Ils utilisent également les outils TIC pour concevoir des questionnaires pour les enquêtes, analyser les résultats, rédiger des rapports, présenter les résultats et formuler des recommandations sur la base des résultats de la recherche.",,Occupation,fr_native
