entity_id,entity_kind,label_text,label_norm,label_type,language,source
SKL_5a25c9935a2f,skill,Analyseur de protocole de télécommunication,analyseur de protocole de telecommunication,preferred,fr,ROME
SKL_1f78dc1d161b,skill,Sécurité physique des datacenters,securite physique des datacenters,preferred,fr,ROME
SKL_2e5c794779dc,skill,Norme ISO/IEC 27001,norme iso/iec 27001,preferred,fr,ROME
SKL_1c770d6260f6,skill,Informations chiffrées ou codées,informations chiffrees ou codees,preferred,fr,ROME
SKL_741e99425276,skill,Firewalls et systèmes de détection d'intrusions,firewalls et systemes de detection d'intrusions,preferred,fr,ROME
SKL_de87253f16e3,skill,Test de pénétration et évaluation de la sécurité,test de penetration et evaluation de la securite,preferred,fr,ROME
SKL_505b297b5598,skill,Logiciels anti-virus et anti-malware,logiciels anti-virus et anti-malware,preferred,fr,ROME
SKL_1f45b60c22f4,skill,"EDR, NDR, XDR, scanner de vulnérabilité","edr, ndr, xdr, scanner de vulnerabilite",preferred,fr,ROME
SKL_771aa834a258,skill,Mastère spécialisé cybersécurité du numérique,mastere specialise cybersecurite du numerique,preferred,fr,ROME
SKL_50b1957918f5,skill,Traiter les demandes de support technique,traiter les demandes de support technique,preferred,fr,ROME
SKL_b1c904cce042,skill,Piloter une activité,piloter une activite,preferred,fr,ROME
SKL_4b43f19e097e,skill,Concevoir et déployer des outils de communication,concevoir et deployer des outils de communication,preferred,fr,ROME
SKL_83621319d546,skill,Assurer la maintenance préventive des réseaux,assurer la maintenance preventive des reseaux,preferred,fr,ROME
SKL_0f3a2ab24e17,skill,Surveiller la performance des systèmes de communication,surveiller la performance des systemes de communication,preferred,fr,ROME
SKL_d59ad6204aa4,skill,Collaborer avec les équipes pour intégrer de nouvelles solutions,collaborer avec les equipes pour integrer de nouvelles solutions,preferred,fr,ROME
SKL_3fbd996e9974,skill,Communiquer efficacement les mises à jour techniques,communiquer efficacement les mises a jour techniques,preferred,fr,ROME
SKL_1e6b347be5d5,skill,Respecter les normes de sécurité des données,respecter les normes de securite des donnees,preferred,fr,ROME
SKL_ed8cd6b18087,skill,Master mention culture et communication,master mention culture et communication,preferred,fr,ROME
SKL_2b251bc15749,skill,Actualiser des bases de données,actualiser des bases de donnees,preferred,fr,ROME
SKL_8f45c81705b3,skill,Documenter les procédures d'installation et de maintenance des logiciels,documenter les procedures d'installation et de maintenance des logiciels,preferred,fr,ROME
SKL_83da318d6221,skill,Développer des interfaces utilisateur ergonomiques,developper des interfaces utilisateur ergonomiques,preferred,fr,ROME
SKL_231b3354d1f3,skill,Configurer les serveurs pour améliorer la capacité de traitement,configurer les serveurs pour ameliorer la capacite de traitement,preferred,fr,ROME
SKL_e981404045e8,skill,Big Data,big data,preferred,fr,ROME
SKL_41a98b6132ca,skill,Mettre à jour les systèmes de messagerie pour assurer la compatibilité avec les nouveaux logiciels,mettre a jour les systemes de messagerie pour assurer la compatibilite avec les nouveaux logiciels,preferred,fr,ROME
