unified_id,primary_label_en,primary_label_fr,alt_labels_en,alt_labels_fr,isco_code,occupation_type,sources,member_entity_ids,wikidata_qid,wikidata_url,wikidata_description,description,description_source
UOCC_830b9496067b,mobile application developer,développeur d’applications mobiles/développeuse d’applications mobiles,cell phone app developer | app programmer | mobile app specialist | app coder | mobile app developer | app developer,développeur d'applications pour mobile | développeur d'applications pour dispositifs mobiles | développeuse d'applications mobiles | développeuse d'applications pour portables | développeuse d'applications pour dispositifs mobiles | développeuse mobile | développeur d'applications mobiles | développeuse d'applications pour mobile | conceptrice d'applications mobiles | développeur mobile | concepteur d'applications mobiles | développeur d'applications pour portables,2514,unified_occupation,ESCO,OCC_60d10ff7dab8,,,,"Mobile application developers implement applications software for mobile devices, based on the designs provided, using general or specific development tools for device operating systems.",source
UOCC_7519edf41161,cloud architect,Architecte cloud,aws cloud architect | cloud solutions consultant,architecte cloud | consultant en solutions cloud | aws architecte cloud,2512,unified_occupation,ESCO | ROME,OCC_8545ea52f78d | OCC_96b5d34f1d58,,,,"Cloud architects are responsible for converting the technical features of a project into the architecture to lead to the final product. To develop technical cloud strategy, they have in-depth knowledge of the architectural principles and services, assisting with cloud migration efforts, review workload architectures, and provide guidance on how to address high-risk issues. They typically perform in a pre-sales capacity and are often asked to deliver proof-of-concept projects, topical workshops, and lead implementation projects. They team up with DevOps engineers to build the appropriate technologies.",source
UOCC_a9dcbba73f39,digital games tester,testeur de jeux numériques/testeuse de jeux numériques,virtual games tester | computer games tester | digital game tester | digital games testers | video games tester,développeur de jeux numériques | développeur de jeux vidéo | testeuse de jeux numériques | testeur de jeux sur Internet | testeuse de jeux vidéo | testeur de jeux en ligne | testeuse de jeux virtuels | testeuse de jeux sur Internet | testeuse de jeux en ligne | testeur de jeux virtuels | testeur de jeux vidéo | testeur de jeux numériques,2519,unified_occupation,ESCO,OCC_234bb9d3e7c0,,,,Digital games testers review and test various genres of digital games by playing them in order to find bugs and glitches within the game's functionality or graphics. They may evaluate the capacity of attraction and playability of games. They may also debug the games themselves.,source
UOCC_1e04f284c69d,cloud engineer,ingénieur en informatique en nuage/ingénieure en informatique en nuage,hybrid cloud engineer | cloud computing engineer | cloud infrastructure engineer | cloud software engineer | cloud-native engineer | cloud security engineer | cloud developer | cloud network engineer | cloud solution engineer,architecte cloud | ingénieur cloud devops | développeur cloud | ingénieure sécurité cloud | ingénieur cloud hybride | ingénieure en cloud computing | ingénieur réseau cloud | ingénieure réseau cloud | ingénieur solution cloud | ingénieur en cloud computing | ingénieure cloud devops | ingénieur sécurité cloud | ingénieure cloud natif | ingénieur infrastructure cloud | ingénieur cloud natif | ingénieure logiciel cloud | ingénieure cloud hybride | ingénieur logiciel cloud | ingénieure solution cloud | ingénieure infrastructure cloud | développeuse cloud,2512,unified_occupation,ESCO,OCC_ff4e73f258e8,,,,"Cloud engineers are responsible for the design, planning, management and maintenance of cloud-based systems. They develop and implement cloud-applications, handle the migration of existing on-premise applications to the cloud, and debug cloud stacks.",source
UOCC_d3e538f6a7a1,artificial intelligence engineer,ingénieur en intelligence artificielle/ingénieure en intelligence artificielle,intelligent systems designers | artificial intelligence designer | ICT intelligent systems designer | AI system designer | semantic technologies engineer | machine learning systems designer | intelligent systems developer | linked data engineer | intelligent system designer | machine learning engineer | designer of intelligent systems | intelligent systems engineer | AI engineer,concepteur de SI | designer de systèmes intelligents | conceptrice de systèmes intelligents | conceptrice de SI | ingénieur en intelligence artificielle | ingénieure en intelligence artificielle | concepteur de systèmes intelligents | ingénieur en IA | ingénieur IA | ingénieur intelligence artificielle,2511,unified_occupation,ESCO,OCC_80660e3c36ff,Q126116209,https://www.wikidata.org/wiki/Q126116209,métier et le nom des personnes qui font ce métier qui consiste à créer des programmes informatiques qui font des taches qui sont habituellement faites par des humains,"Artificial intelligence engineer apply methods of artificial intelligence in engineering, robotics and computer science to design programs which simulate intelligence including thinking models, cognitive and knowledge-based systems, problem solving, and decision making. They also integrate structured knowledge into computer systems (ontologies, knowledge bases) in order to solve complex problems normally requiring a high level of human expertise or artificial intelligence methods.",source
UOCC_6a46a76ef41d,sound editor,mixeur/mixeuse,sound designer | audio editor | music editor | music supervisor | dubbing manager | automatic dialogue replacement editor | foley editor | dialogue editor | foley artist | ADR editor,mixeuse | mixeur,3521,unified_occupation,ESCO,OCC_44244775ffc6,Q3180462,https://www.wikidata.org/wiki/Q3180462,creative professional responsible for selecting and assembling sound recordings in preparation for the final sound mixing or mastering of a visual media production involving recorded or synthetic sound,"Sound editors create the soundtrack and sound effects for motion pictures, television series or other multimedia productions. They are responsible for all the music and sound featured in the movie, series or videogames. Sound editors use equipment to edit and mix image and sound recordings and make sure that the music, sound and dialogue is synchronised with and fits in the scene. They work closely together with the video and motion picture editor.",source
UOCC_b6db83a859f2,ICT change and configuration manager,gestionnaire des modifications et de la configuration des TIC,configuration manager | application lifecycle manager | software change and configuration manager,spécialiste devops | ingénieur développement | gestionnaire du cycle de vie des applications | gestionnaire de changement et de configuration de logiciel | ingénieure développement | panneau de configuration,2519,unified_occupation,ESCO,OCC_b12363d00856,,,,"ICT change and configuration managers organise and implement a process to manage changes throughout the lifecycle of ICT assets such as software, applications, ICT systems, etc. ICT change and configuration managers have a sound knowledge of the main technologies and processes used in system engineering and to manage the lifecycle of ICT systems and subsystems.",source
UOCC_b784039e1c63,telecommunications manager,responsable des télécommunications,communications manager | telecommunications commissioning manager | ICT manager | telecommunications managers | telecommunications services manager | telecommunications technician supervisor | telecommunications development manager | telecommunications equipment manager | telecommunications installation manager | telecommunications project manager | telecommunications systems manager | telecoms manager | telecom manager | network and telecommunications manager | telecommunications service manager,directeur des télécommunications | directrice des télécommunications | responsable des télécoms | responsable réseau et télécommunications,1330,unified_occupation,ESCO,OCC_cdb44ab40521,,,,"Telecommunications managers coordinate telecommunications staff activities for installing, troubleshooting, repairing and maintaining telecommunications equipment and infrastructure. They oversee the research, evaluation and implementation of new technologies and ensure a safe working environment for the employees. They supervise the inventory of supplies as well as user and customer assistance actions.",source
UOCC_b7c8e3841fa5,database integrator,intégrateur de base de données/intégratrice de base de données,data integrator | data base integrator | data base integrators | database integrators | database development specialist,conceptrice de bases de données | responsable de base de données | concepteur de base de données | intégratrice de données | intégrateur de base de données | intégrateur de données | intégratrice de base de données,2521,unified_occupation,ESCO,OCC_69eaea4542b3,,,,Database integrators perform integration among different databases. They maintain integration and ensure interoperability.,source
UOCC_212c0dbdbca9,Computer User Support Specialists,technicien informatique/technicienne informatique,ICT technician | computer operator | IT officer | IT technician | IT assistant | information systems technician | ICT engineer | IT engineer,agent technique en technologie de l'information et de la communication | technicien en TIC | agente technique en TIC | technicien en systèmes d'information | responsable informatique | technicienne en TIC | ingénieur en TIC | agente technique en technologie de l'information et de la communication | agent technique en informatique | technicien informatique | technicienne en technologies de l'information et de la communication | technicien en technologies de l'information et de la communication | assistant informatique | agent technique en TIC | technicienne informatique | agente technique en informatique,3512,unified_occupation,ESCO | ONET,OCC_14d19ed15436 | OCC_7dd66a9512aa,,,,"Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, via telephone, or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems.",source
