entity_id,source,source_id,pref_label_en,pref_label_fr,alt_labels_en,alt_labels_fr,description_en,description_fr,esco_skill_type,esco_reuse_level,hard_soft_provisional,hard_soft_method,it_subtype
SKL_56921a87f215,ESCO,edf081e4-d2dc-4a60-8c49-7b7e45b5ebe3,create risk maps,cartographier des risques,generate risk maps | design risk maps | develop risk maps,,"Use data visualisation tools in order to communicate the specific financial risks, their nature and impact for an organisation.",,skill/competence,sector-specific,hard,esco_skillcompetence_default,other_hard
SKL_85407d1bf0c9,ESCO,85ac537a-9233-42cc-a6e8-73851e77d214,direct inward dialing,sélection directe à l’arrivée,DDI | DID | direct dial-in,DDI | SDA | DID | numéro d’appel direct | numéro téléphonique public | sélection directe des appels à l’arrivée,"The telecommunication service that provides a company with a series of telephone numbers for internal use, such as individual telephone numbers for each employee or every workstation, so that a company does not need another line for every connection.",,knowledge,sector-specific,hard,esco_knowledge_pillar,knowledge_general
SKL_56a834a16738,ESCO,89d2bb53-67fc-4b9e-80c7-07b6c587bc0d,work safely with chemicals,travailler en toute sécurité avec des produits chimiques,working safely with chemicals | operate safely with chemicals | perform duties safely with chemicals,,"Take the necessary precautions for storing, using and disposing chemical products.",,skill/competence,sector-specific,hard,esco_skillcompetence_default,other_hard
SKL_da645c224c86,ESCO,cffc3e97-e942-4b13-a2f3-0bf4910c06d3,use technical documentation,utiliser de la documentation technique,read and use technical documentation | use technical documents | use documentation that is technical | understand and implement technical documentation,,Understand and use technical documentation in the overall technical process.,,skill/competence,cross-sector,hard,esco_skillcompetence_default,other_hard
SKL_9705a706df51,ESCO,15c522eb-cd6d-4b00-9d95-db20c0f8df88,energy saving potential of automated shift systems,potentiel d’économies d’énergie des systèmes de changement de vitesse automatiques,efficiency gains from automated shifts | efficiency gains from automated shifts systems,,Potential to save energy in automated shift systems through mechanisms such as improved efficiency and better anticipation of upcoming events.,,knowledge,occupation-specific,hard,esco_knowledge_pillar,knowledge_general
SKL_9d6c8b2769a0,ESCO,1bc718b6-ed90-4a9d-9fa7-8cec928a4581,use creative suite software,utiliser des suites logicielles de création graphique,apply creative suite software | operate creative suite software | creative suite software use | using creative suite software | employ creative suite software,,Use a creative software suite such as ''Adobe'' to aid in graphic designing.,,skill/competence,occupation-specific,hard,esco_skillcompetence_default,programming_languages
SKL_4dd5e118bd42,ESCO,4a193795-fa63-414e-9f2e-bfdb3924571e,handle data samples,traiter des échantillons de données,collect data samples | manage data samples | handle data samples for statistical purposes,,Collect and select a set of data from a population by a statistical or other defined procedure.,,skill/competence,cross-sector,hard,esco_skillcompetence_default,other_hard
SKL_fc36ef6f31c9,ESCO,ffddfc7c-a9dd-449f-9e96-882dc447c8b6,Scala,Scala,Scala Programming Language,,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Scala.",,knowledge,sector-specific,hard,esco_knowledge_pillar,programming_languages
SKL_5ca14d6a9200,ESCO,9190d87f-9792-42e0-bb7f-64294a656bcd,monitor system performance,contrôler la performance du système,system logging,contrôler l’historique du système | contrôler l’activité du système | surveiller l’activité du système | suivre la performance du système | surveiller la performance du système | suivre l’activité du système | contrôler la performance du système informatique,"Measure system reliability and performance before, during and after component integration and during system operation and maintenance. Select and use performance monitoring tools and techniques, such as special software.",,skill/competence,sector-specific,hard,esco_skillcompetence_default,other_hard
SKL_29199f447102,ESCO,96835f47-da71-415b-8cbf-d37386dc98d4,conduct environmental surveys,mener des études environnementales,conduct surveys on risks to the environment | collect information on environmental risks through implementation of surveys | carry out environmental surveys | conduct environment surveys | gather data on environmental risks through conducting surveys | execute environmental surveys | undertake environmental surveys | conduct surveys on environmental risks | perform environmental surveys | collect data on environmental risks through implementation of surveys,,Conduct surveys in order to collect information for analysis and management of environmental risks within an organisation or in a wider context.,,skill/competence,cross-sector,hard,esco_skillcompetence_default,other_hard
SKL_6979c42dcb59,ESCO,b8eb2517-37d8-43e6-9856-9c29d5c51fde,Filemaker (database management systems),FileMaker (systèmes de gestion de base de données),FileMaker Pro | FileMaker | FileMaker Go,,"The computer program FileMaker is a tool for creating, updating and managing databases, developed by the software company FileMaker Inc.",,knowledge,sector-specific,hard,esco_knowledge_pillar,data_databases
SKL_7a34519bf277,ESCO,25ee43a8-f9b0-4990-96cf-eabe627ff0cc,use rental management software,utiliser un logiciel de gestion locative,use of rental management software | operate rental management software | apply rental management software | adopt rental management software | handle rental management software | using rental management software | rental management software use,,"Use rental management software to monitor aspects of the business such as finances, rentals, and bills.",,skill/competence,occupation-specific,hard,esco_skillcompetence_default,programming_languages
SKL_acc48df4d907,ESCO,377861af-f966-4c87-a2db-7e99904312b9,geographic information systems,systèmes d'information géographique,RS | gis | GIS | remote sensing | GPS | global positioning systems | gps | geospatial technologies | rs,,"The tools involved in geographical mapping and positioning, such as GPS (global positioning systems), GIS (geographical information systems), and RS (remote sensing).",,knowledge,sector-specific,hard,esco_knowledge_pillar,knowledge_general
SKL_c0a2e4a81fa2,ESCO,772a9c72-abef-4333-9788-f4cb48ad8e08,identify software for warehouse management,recenser les logiciels de gestion d’entrepôts,determine software for warehouse management | identify applications for warehouse management | identify software applications for warehouse management | discover warehouse management software | recognize software for warehouse management,,"Identify relevant software and applications used for warehouse management systems, their characteristics and value added to warehouse management operations.",,skill/competence,cross-sector,hard,esco_skillcompetence_default,programming_languages
SKL_ba87b921382f,ESCO,0207f83d-a1e4-4b47-b80c-84d41257791f,analyse the artistic concept based on stage actions,analyser le concept artistique d’après les actions scéniques,analyse artistic concept stage action | examine a performance's artistic concept according to stage movements | analyze the artistic concept based on stage actions | analyse the artistic concept based on actions on stage | analyse the artistic concept of a performance during rehearsals,,"Analyse the artistic concept, form and structure of a live performance based on observation during rehearsals or improvisation. Create a structured base for the design process of a specific production.",,skill/competence,sector-specific,hard,esco_skillcompetence_default,other_hard
SKL_06b9228be59a,ESCO,b8df1689-6763-437d-bfca-fe03d43f36c3,Computer Assisted Language Learning,aprentissage des langues en ligne,CALL,CALL,"A language teaching and learning approach in which information technologies as well as computer-based resources are used to reinforce, present, make interactive and assess second or foreign languages to be learned.",,knowledge,occupation-specific,hard,esco_knowledge_pillar,knowledge_general
SKL_af7934165e9a,ESCO,ce2dcc4b-d0a4-4aa4-b84a-a08da3c31d7d,explain distributed ledger technologies principles,expliquer les principes des technologies de registres distribués,explain distributed ledger technologies properties,expliquer les propriétés des technologies des registres distribués | expliquer les propriétés des technologies de registre distribué,"Explain the principles of the system architecture underlying distributed ledger technologies (DLT), in particular blockchain. Understand the DLT system architecture in terms of functional components in the core and service layers, the application service platform, DLT services, and external services. Understand the interaction of these components to provide DLT-based functions such as consensus mechanism functions, ledger management functions, smart contract mechanism functions, and distributed application management functions.",,skill/competence,cross-sector,hard,esco_skillcompetence_default,emerging_tech
SKL_02fe2368a871,ESCO,58888680-07cd-4baa-8eb1-f846bff7e2d4,manage membership database,gérer une base de données des adhésions,operate association database | oversee membership database | operate membership database | supervise association database | oversee association database | supervise membership database,,Add and update membership information and analyze and report on statistical membership information.,,skill/competence,sector-specific,hard,esco_skillcompetence_default,data_databases
SKL_e7f0a7064c6a,ESCO,afd63e8c-a4e7-42d3-86c9-3b2dd549a353,Parrot Security OS,Parrot Security OS,OS - Parrot Security,,"The operating system Parrot Security is a Linux distribution which performs penetration cloud testing, analysing security weaknesses for potentially unauthorised access.",,knowledge,sector-specific,hard,esco_knowledge_pillar,security
SKL_43c39f51f6b0,ESCO,a5b0cd5c-e13a-4ab3-8d93-4d242adcfb01,teamwork principles,principes du travail d'équipe,teamwork approaches | teamwork principle | teamwork concepts | teamwork methods,principes du travail en équipe,"The cooperation between people characterised by a unified commitment to achieving a given goal, participating equally, maintaining open communication, facilitating effective usage of ideas etc.",,knowledge,cross-sector,hard,esco_knowledge_pillar,knowledge_general
SKL_100772f1588f,ESCO,29d4aaba-99f9-4733-bd74-ad558f2ae3a7,musical instruments,instruments de musique,instruments for music | music devices | musical tools | music instruments,,"The different musical instruments, their ranges, timbre, and possible combinations.",,knowledge,sector-specific,hard,esco_knowledge_pillar,knowledge_general
SKL_43d25600335a,ESCO,cfb8d64c-f8d7-4894-a02e-2551ab33f1d0,Canvas (learning management systems),Canvas (systèmes de gestion de l’apprentissage),Canvas network | Canvas e-learning tool | Canvas e-learning platform | Canvas platform | Canvas,,"The Canvas network is an e-learning platform for creating, administrating, arranging, reporting and delivering e-learning education courses or training programs.",,knowledge,sector-specific,hard,esco_knowledge_pillar,knowledge_general
SKL_e611a343e4e9,ESCO,3fb8b724-1d52-4d11-b8b8-1776f558d1f0,design ICT hardware placement,concevoir l’arrangement du matériel TIC,specify ICT hardware placement in buildings | design ICT hardware placement in buildings | plan ICT hardware placement in buildings | specify ICT hardware placement,,Describe and plan how cables and related hardware items will be placed throughout the building.,,skill/competence,occupation-specific,hard,esco_skillcompetence_default,systems_infrastructure
SKL_e003d365f569,ESCO,8f6ed69b-29d0-4c01-81ba-f05920a185f3,digital curation,conservation numérique,digital research curation,conservation de la recherche numérique | curation de la recherche numérique,"The field that deals with maintaining, preserving and adding value to digital research.",,knowledge,occupation-specific,hard,esco_knowledge_pillar,knowledge_general
SKL_891fd5e04d20,ESCO,8c4c49d4-9708-433f-8ca7-bf2c5211ee49,develop creative ideas,développer des idées créatives,produce creative ideas | generate creative ideas | developing creative ideas | create creative ideas,,Developing new artistic concepts and creative ideas.,,skill/competence,cross-sector,hard,esco_skillcompetence_default,programming_languages
SKL_c6b378206477,ESCO,339ac029-066a-4985-9f9d-b3d7c8fea0bb,manage staff,gérer le personnel,supervise staff | coordinate and monitor employees | undertake HR processes | supervise personnel | implement HR actions | supervise employees | perform HR | conduct HR activities | manage personnel | manage subordinates | manage team | manage employees | coordinate and monitor subordinates | coordinate and monitor staff,,"Manage employees and subordinates, working in a team or individually, to maximise their performance and contribution. Schedule their work and activities, give instructions, motivate and direct the workers to meet the company objectives. Monitor and measure how an employee undertakes their responsibilities and how well these activities are executed. Identify areas for improvement and make suggestions to achieve this. Lead a group of people to help them achieve goals and maintain an effective working relationship among staff.",,skill/competence,cross-sector,hard,esco_skillcompetence_default,other_hard
SKL_2260910f563a,ESCO,386774ac-fe5b-431a-b485-9aec0bf5c09e,maintain electrical equipment,entretenir des équipements électriques,test electrical equipment | maintaining electrical equipment | test and maintain power supply | maintain electric equipment,,"Test electrical equipment for malfunctions. Take safety measures, company guidelines, and legislation concerning electrical equipment into account. Clean, repair and replace parts and connections as required.",,skill/competence,cross-sector,hard,esco_skillcompetence_default,other_hard
SKL_1e60c0a605d3,ESCO,25b291b5-8245-4d9d-b391-86a8a31d7109,use concurrent programming,utiliser la programmation concurrente,parallel computing | use parallel computing,recourir à la programmation concurrente | utiliser la programmation parallèle | faire usage de la programmation concurrente | employer la programmation concurrente | utiliser programmation concurrente,"Utilise specialised ICT tools to create programs that can execute concurrent operations by splitting programs into parallel processes and, once computed, combining the outcomes together.",,skill/competence,sector-specific,hard,esco_skillcompetence_default,other_hard
SKL_f68d69f63cc2,ESCO,0aa02c52-077d-45f8-8c2d-7132c11ac16e,carry out strategic research,effectuer des recherches stratégiques,carrying out strategic research | conduct strategic research | undertake strategic research | complete strategic research | oversee strategic research | carry out a research strategy,,Research long term possibilities for improvements and plan steps to achieve them.,,skill/competence,cross-sector,hard,esco_skillcompetence_default,it_management
SKL_cd1a8c17e323,ESCO,c5e8abde-d2ba-4e8e-a65e-720b71180666,unstructured data,données non structurées,types of unstructured data,données structurées | ensemble de données non structurées | analyses de données | données semi-structurées | exploration de données | informations non structurées,The information that is not arranged in a pre-defined manner or does not have a pre-defined data model and is difficult to understand and find patterns in without using techniques such as data mining.,,knowledge,sector-specific,hard,esco_knowledge_pillar,knowledge_general
SKL_1156028edd86,ESCO,49fed129-e32b-4f67-b80a-609d79e45b20,electronic and telecommunication equipment,équipements électroniques et de télécommunications,electronic and telecommunication machinery | electronics and telecommunication equipment | electronic and telecommunication machines | electronic and telecommunication devices | electronic and telecommunication apparatus | electronic and telecommunications equipment | electronics and telecommunications equipment,,"The offered electronic and telecommunication equipment and products, their functionalities, properties and legal and regulatory requirements.",,knowledge,sector-specific,hard,esco_knowledge_pillar,networks
