Niveau;Code ISCO;Libellé
4;5223;Vendeurs, magasin
3;5230;Caissiers et billettistes
4;5230;Caissiers et billettistes
3;5240;Autres vendeurs
4;5241;Mannequins et autres modèles
4;5242;Démonstrateurs en magasin
4;5243;Vendeurs au porte-à-porte
4;5244;Télévendeurs
4;5245;Pompistes
4;5246;Commis au comptoir, restauration rapide
4;5249;Vendeurs non classés ailleurs
2;5300;Auxiliaires de soins aux personnes et aux enfants
3;5310;Gardes d'enfants et aides-enseignants
4;5311;Gardes d'enfants
4;5312;Aides-enseignants
3;5320;Aides-soignants
4;5321;Aides-soignants en institution
4;5322;Aides-soignants à domicile
4;5329;Personnel soignant et assimilé, non classé ailleurs
2;5400;Personnel des services de protection et de sécurité
3;5410;Personnel des services de protection et de sécurité
4;5411;Pompiers
4;5412;Agents de police
4;5413;Gardiens de prison
4;5414;Agents de sécurité
4;5419;Personnel des services de protection et de sécurité, non classé ailleurs
1;6000;Agriculteurs et ouvriers qualifiés de l'agriculture, de la sylviculture et de la pêche
2;6100;Agriculteurs, exploitants et ouvriers qualifiés 
3;6110;Exploitants et ouvriers qualifiés, cultures
4;6111;Exploitants et ouvriers qualifiés, cultures de plein champ
4;6112;Arboriculteurs et viticulteurs, exploitants et ouvriers qualifiés
4;6113;Horticulteurs et pépinéristes, exploitants et ouvriers qualifiés
4;6114;Exploitants et ouvriers qualifiés, cultures diversifiées
3;6120;Éleveurs, exploitants et ouvriers qualifiés
4;6121;Éleveurs de bétail, exploitants et ouvriers qualifiés
4;6122;Éleveurs, exploitants et ouvriers qualifiés
4;6123;Apiculteurs et sériciculteurs, exploitants et ouvriers qualifiés
4;6129;Éleveurs non classés ailleurs, exploitants et ouvriers qualifiés
3;6130;Agriculteurs - éleveurs, exploitants et ouvriers qualifiés 
4;6130;Agriculteurs - éleveurs, exploitants et travailleurs qualifiés 
2;6200;Exploitants et ouvriers qualifiés, sylviculture, pêche et chasse
3;6210;Exploitants et ouvriers qualifiés, sylviculture et assimilés
4;6210;Exploitants et ouvriers qualifiés, sylviculture et assimilés
3;6220;Pêcheurs, chasseurs et trappeurs
4;6221;Exploitants et ouvriers qualifiés, aquaculture
4;6222;Pêcheurs de la pêche côtière et en eaux intérieures
